id,state,code_local,unemployment16OrOlder2010,collegeGradRate2010,medianHouseholdIncome2010,foreignBornPop2010,percentageHighTechEmployment2010
1,Alabama,US01,9.5,31.5,41459,3.5,10.52
2,Alaska,US02,8,32.9,66311,7.9,14.45
3,Arizona,US04,10,33,48108,13.4,11.57
4,Arkansas,US05,7.9,28.6,39375,4.8,9.95
5,California,US06,12.4,37.9,59540,27.3,13.68
6,Colorado,US08,8.9,43.3,55580,9.8,15.53
7,Connecticut,US09,9.1,45.9,65883,14.5,13.63
8,Delaware,US10,8.5,37.2,57289,9.3,12.41
9,District of Columbia,US11,9.9,68.8,62009,14.1,14.65
10,Florida,US12,11.5,36.2,45609,20.2,8.84
11,Georgia,US13,10.2,35.5,47659,10,13.49
12,Hawaii,US15,6.6,40.5,65191,17.7,6.26
13,Idaho,US16,9.3,32.7,44867,5.7,11.07
14,Illinois,US17,10.3,45.3,54644,14.2,12.18
15,Indiana,US18,10.2,36.1,45898,4.9,9.2
16,Iowa,US19,6.1,45.5,49401,4.8,8.27
17,Kansas,US20,7,42.3,49687,7.1,13.89
18,Kentucky,US21,10.5,33.3,40948,3.6,8.44
19,Louisiana,US22,7.5,30.3,43804,4,8.84
20,Maine,US23,7.9,37.2,47069,3.4,7.88
21,Maryland,US24,7.5,45.5,70976,15.2,15.97
22,Massachusetts,US25,8.5,54.3,63967,16.1,15.11
23,Michigan,US26,12.5,37.2,46692,6.6,11.89
24,Minnesota,US32,7.3,49.8,56936,8.3,13.1
25,Mississippi,US28,10.4,32.1,37838,2.4,7.2
26,Missouri,US29,9.6,39.3,45600,4,11.1
27,Montana,US30,7.2,40.3,44145,2.1,7.2
28,Nebraska,US31,4.7,44.2,49770,6.8,8.3
29,Nevada,US32,14.9,28.4,52045,19.3,6.47
30,New Hampshire,US33,6.1,46,62770,6,13.4
31,New Jersey,US34,9.5,47.2,69829,22.1,15.4
32,New Mexico,US35,8.4,28.7,43326,9.4,11.67
33,New York,US36,8.6,49.6,55712,22.9,10.25
34,North Carolina,US37,10.6,37.6,44726,7.9,10.76
35,North Dakota,US38,4.3,50.8,50026,3.8,8.34
36,Ohio,US39,10.1,38,46275,4.3,11.27
37,Oklahoma,US40,7.1,30.8,43239,6,10.96
38,Oregon,US41,10.8,37.6,47989,9.9,12.17
39,Pennsylvania,US42,8.7,43.9,50548,6.5,11.18
40,Rhode Island,US44,11.6,42.5,53879,13.5,9.52
41,South Carolina,US45,11.2,35.2,43311,4.8,10.27
42,South Dakota,US46,5,42.2,46993,3.2,7.16
43,Tennessee,US47,9.7,32.8,42453,5,9.66
44,Texas,US48,8.2,32.2,50010,17,13.36
45,Utah,US49,7.7,38.5,56227,8.2,11.8
46,Vermont,US50,6.2,44.5,50707,4.5,10.6
47,Virginia,US51,6.9,44.6,62173,12.2,17.67
48,Washington,US53,9.6,40.9,57201,13.7,16.66
49,West Virginia,US54,9.1,29.5,39444,1.6,8.43
50,Wisconsin,US55,8.7,41.3,50293,4.8,10.58
51,Wyoming,US56,7,34.2,55213,3.8,8.94
